dataset,subset,cluster_id,cluster_size,node_id,file_path,language,source_element_path
KMT,all_notes_en,all_notes_en_cluster_dita_document:21b837d029a58259f6e1,22,dita_document:9cfb97741450b46689b8,KA-05390_note_0002.dita,,KA-05390_note_0002.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:21b837d029a58259f6e1,22,dita_document:be78b9a3e6892686d85a,KA-05390_note_0008.dita,,KA-05390_note_0008.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:21b837d029a58259f6e1,22,dita_document:c6f1e13a7d9a2a98e91a,KA-05391_note_0001.dita,,KA-05391_note_0001.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:82e163d6a607e1e21c45,2,dita_document:82e163d6a607e1e21c45,KA-01589_note_0007.dita,,KA-01589_note_0007.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:82e163d6a607e1e21c45,2,dita_document:872a8cdb35dbbba28d89,KA-04446_note_0005.dita,,KA-04446_note_0005.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:92abac4748656d73ddd6,5,dita_document:92abac4748656d73ddd6,KA-01589_note_0013.dita,,KA-01589_note_0013.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:92abac4748656d73ddd6,5,dita_document:20ae280bd4fe0f817aa1,KA-01625_note_0007.dita,,KA-01625_note_0007.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:92abac4748656d73ddd6,5,dita_document:70b0dd049affaf566f74,KA-01642_note_0008.dita,,KA-01642_note_0008.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:92abac4748656d73ddd6,5,dita_document:1e29d4e6fc794884e56e,KA-01783_note_0007.dita,,KA-01783_note_0007.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:92abac4748656d73ddd6,5,dita_document:bf1850e218668c3c28ac,KA-01784_note_0018.dita,,KA-01784_note_0018.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:b62d65271966ebf4c812,2,dita_document:b62d65271966ebf4c812,KA-01590_note_0001.dita,,KA-01590_note_0001.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:b62d65271966ebf4c812,2,dita_document:e52ebd5e03ba37234624,KA-01621_note_0001.dita,,KA-01621_note_0001.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:23e9106c7d45cb2b4a20,7,dita_document:92034b85fb50f31558f3,KA-01590_note_0003.dita,,KA-01590_note_0003.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:23e9106c7d45cb2b4a20,7,dita_document:23e9106c7d45cb2b4a20,KA-01621_note_0002.dita,,KA-01621_note_0002.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:23e9106c7d45cb2b4a20,7,dita_document:3f10a00034b10b01f12d,KA-01634_note_0001.dita,,KA-01634_note_0001.dita
