item1_index,item2_index,item1_node_id,item2_node_id,embedding_similarity
1814,21277,KMT:dita_body:cf873ddb625bd39c83d4,ORT:dita_body:30215348b8eb54e6c166,0.7844877243041992
1499,24823,KMT:dita_body:f6d588eba19a6181eb29,ORT:dita_body:f098f57850cdbf8515e5,0.7843983769416809
1509,21465,KMT:dita_body:41ef7ced77a4d8591c88,ORT:dita_body:aa3de8a43f997cf42326,0.7843870520591736
1031,26735,KMT:dita_body:3835cd4af5e2d0eafb6f,ORT:dita_body:642d0aad679cfc5077ca,0.7842610478401184
1355,20907,KMT:dita_body:5e743de0be6e02ddc9f2,ORT:dita_body:fad9a2822e4086f2e3c3,0.7839906215667725
5205,20527,KMT:dita_body:92c2f0d22b8692c83341,ORT:dita_body:d106e6031ef5012cc611,0.7839871048927307
2395,24409,KMT:dita_body:8364d3308a63f55b0c8a,ORT:dita_body:ab81c3d6d3be49209576,0.7837342619895935
2385,22971,KMT:dita_body:bb767dcacb61331c94a2,ORT:dita_body:211978bd387de8944239,0.7837319374084473
7173,18887,KMT:dita_body:8f2bccfe38278dc4ea0a,ORT:dita_body:cd8cc4454e42f83d1c4f,0.7835636734962463
8004,9547,KMT:dita_body:fac21f22885358dc4014,ORT:dita_body:26025056916dd0fde4ff,0.7835517525672913
6614,10662,KMT:dita_body:a49fb666607baccc9fb3,ORT:dita_body:c0f51e77f03fe25f23e2,0.7834100127220154
6512,9263,KMT:dita_body:f6dd9ecd16c270c497ee,ORT:dita_body:c9ab4db05246246d7117,0.7832040786743164
2924,10051,KMT:dita_body:255ec699a872c2b8baad,ORT:dita_body:f76bfd5b6edb11da7119,0.7831338047981262
2939,21888,KMT:dita_body:265ba96c1a7ace294c96,ORT:dita_body:3a0d964cf90d5723af8d,0.7827292084693909
3243,17575,KMT:dita_body:8703bbb662549257ed2d,ORT:dita_body:79450ce090d9b0042355,0.7825411558151245
7195,21655,KMT:dita_body:e7b170e05aeb32077b86,ORT:dita_body:23762fa8fcefcaf37046,0.7825027108192444
6771,13698,KMT:dita_body:be5908836bf404c373f2,ORT:dita_body:4c85d23522d767eb03de,0.7824752926826477
6928,19963,KMT:dita_body:5df555bb752b58fb1a60,ORT:dita_body:c75aa2563fc6e4ed1ef6,0.7821385860443115
6720,24045,KMT:dita_body:1c1abb8ad32023000111,ORT:dita_body:9b37e9c7780d409306dd,0.7821128964424133
5504,22624,KMT:dita_body:2850828e5bb58920a655,ORT:dita_body:6867aa531dfe2c896a9e,0.7819517850875854
6806,22583,KMT:dita_body:f8c568411920a5f24ac5,ORT:dita_body:a31f0d451bb0d1f7dc09,0.7819327116012573
1499,24833,KMT:dita_body:f6d588eba19a6181eb29,ORT:dita_body:84d61c5cdd0d2107c7f3,0.7818979620933533
1565,16001,KMT:dita_body:6659febfbd1dbed2ce7f,ORT:dita_body:94384811166dd35fb3c6,0.7817496657371521
1666,16001,KMT:dita_body:122c09ed9a1f66156370,ORT:dita_body:94384811166dd35fb3c6,0.7817496657371521
2502,16001,KMT:dita_body:5fa89e6334820f0c43c2,ORT:dita_body:94384811166dd35fb3c6,0.7817496657371521
7550,18886,KMT:dita_body:58c091f2d846f8feaf2d,ORT:dita_body:4c1dfbb07294e3de70b5,0.7816082835197449
4582,25434,KMT:dita_body:50d4456be5681c5cc6aa,ORT:dita_body:6a5956d44ce8b44d4573,0.7815017104148865
2867,19959,KMT:dita_body:bf21d323d83a5520d928,ORT:dita_body:28e2f5ebd15c78abfeda,0.7814812064170837
7413,23380,KMT:dita_body:36b8795a119bb23adbbc,ORT:dita_body:f3106ba4ba97a70fdb5c,0.7813810110092163
2521,10280,KMT:dita_body:60d090a9c272b724f538,ORT:dita_body:cc4f1c74bafcd0f2625f,0.781141459941864
7843,24042,KMT:dita_body:942fdc52470b68c86011,ORT:dita_body:8ba86bd01063eadad533,0.7811182141304016
2924,9218,KMT:dita_body:255ec699a872c2b8baad,ORT:dita_body:b7ffc443bbf0732dd9b1,0.7806717157363892
801,14642,KMT:dita_body:38ee743576d2dad59dac,ORT:dita_body:723ef905b91c50b0715a,0.7806026339530945
3949,10057,KMT:dita_body:b9d891ea395abe555c71,ORT:dita_body:a65234a3a7eb06aef9de,0.7805385589599609
8004,10581,KMT:dita_body:fac21f22885358dc4014,ORT:dita_body:93fad99e7a1fe2c33bec,0.7804222106933594
1950,16661,KMT:dita_body:1babe73b1292299049f8,ORT:dita_body:df315bf4e18ecf25d02b,0.7803956866264343
1950,19444,KMT:dita_body:1babe73b1292299049f8,ORT:dita_body:f4faa3a112613eb542c4,0.7803956866264343
2719,23060,KMT:dita_body:464208007167a5a30959,ORT:dita_body:3b7d5bbc127cc666757d,0.7802435159683228
2152,20391,KMT:dita_body:bcfa640943c289367827,ORT:dita_body:0e6a99dd2c0f64360185,0.7801650166511536
6806,17759,KMT:dita_body:f8c568411920a5f24ac5,ORT:dita_body:4ede72ca8630fcea484e,0.7801443338394165
85,22542,KMT:dita_body:0424cebde62a73cb7561,ORT:dita_body:833a8dce6f0b32f98e32,0.7801094651222229
2064,22862,KMT:dita_body:d1af2839d75f4726dd24,ORT:dita_body:dcf1905d7d0409fd726b,0.7801015973091125
3171,10057,KMT:dita_body:4740eda1dab572571885,ORT:dita_body:a65234a3a7eb06aef9de,0.7800647616386414
2064,23051,KMT:dita_body:d1af2839d75f4726dd24,ORT:dita_body:3fca4bc669c10f7c60b4,0.7799878716468811
193,17227,KMT:dita_body:e87135d86416490649ef,ORT:dita_body:0db83ebef626336ac958,0.7799121141433716
72,10206,KMT:dita_body:3a308cecae37ab8e8e2b,ORT:dita_body:5cdfbafd36afa544ae1c,0.779886782169342
5364,26256,KMT:dita_body:be9b712c8e57430fef8b,ORT:dita_body:b872f0dac5fe233360f5,0.7798500061035156
7286,10066,KMT:dita_body:f901e03f1e2c75c03fc4,ORT:dita_body:2fe28b32954205c49917,0.7798373103141785
2486,9547,KMT:dita_body:268a8dada81d00768339,ORT:dita_body:26025056916dd0fde4ff,0.7798337340354919
2060,22862,KMT:dita_body:5636b2dbc4fb44ba2ff9,ORT:dita_body:dcf1905d7d0409fd726b,0.7797478437423706
7476,18886,KMT:dita_body:fa2cdee68d1e45953c50,ORT:dita_body:4c1dfbb07294e3de70b5,0.7797223925590515
1950,19841,KMT:dita_body:1babe73b1292299049f8,ORT:dita_body:cc0b9388015df7c27fcb,0.7796230912208557
2939,15321,KMT:dita_body:265ba96c1a7ace294c96,ORT:dita_body:1b5895dbbf6a4937771a,0.7796165347099304
4582,10214,KMT:dita_body:50d4456be5681c5cc6aa,ORT:dita_body:5d34ed16f906da999ddb,0.7796111702919006
2574,14249,KMT:dita_body:3ba659615d9ece5f4f44,ORT:dita_body:b38451ff41a967e7afd2,0.7795215845108032
193,17163,KMT:dita_body:e87135d86416490649ef,ORT:dita_body:69fb4b9629969ec5101b,0.7794784903526306
7773,9547,KMT:dita_body:02778ad407d6aaa874ae,ORT:dita_body:26025056916dd0fde4ff,0.7793076038360596
4587,18494,KMT:dita_body:44ec448ab038b7329dd7,ORT:dita_body:8d95eaba5bfaf202fa71,0.7792336940765381
7191,9547,KMT:dita_body:aa62a3fd3640c6998971,ORT:dita_body:26025056916dd0fde4ff,0.7792242765426636
2015,9464,KMT:dita_body:0a99ca915f5b4ba56444,ORT:dita_body:aa1793b885e653d1cd98,0.7790720462799072
2751,23060,KMT:dita_body:df22b85855e82375bccb,ORT:dita_body:3b7d5bbc127cc666757d,0.7789735198020935
1565,16081,KMT:dita_body:6659febfbd1dbed2ce7f,ORT:dita_body:d36f1fdedffce228bc9d,0.7789729833602905
1666,16081,KMT:dita_body:122c09ed9a1f66156370,ORT:dita_body:d36f1fdedffce228bc9d,0.7789729833602905
2502,16081,KMT:dita_body:5fa89e6334820f0c43c2,ORT:dita_body:d36f1fdedffce228bc9d,0.7789729833602905
7560,8493,KMT:dita_body:1abcebd4704fd5706c6b,ORT:dita_body:1e4672c6d176cffafc0b,0.7788424491882324
